utc,julian_date_ut,goes18_ra_deg,goes18_dec_deg,earth_distance_km,moon_distance_km,sun_distance_km,earth_moon_separation_deg,earth_sun_separation_deg,moon_sun_separation_deg,earth_apparent_radius_deg,earth_exclusion_radius_deg,moon_apparent_radius_deg,moon_exclusion_radius_deg,sun_apparent_radius_deg,sun_exclusion_radius_deg,earth_moon_cap_overlap_sr,earth_sun_cap_overlap_sr,moon_sun_cap_overlap_sr,earth_moon_sun_triple_overlap_sr,total_excluded_sky_sr,visible_sky_fraction,visible_sky_percent
2026-01-01T00:00:00Z,2461041.500000000,323.317601434952,-0.114749420359,42161.896994,370126.938363,147074812.368920,74.355640748,133.010110531,152.224355557,8.691153873,28.691153873,0.268951115,20.000000000,0.271024126,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990672434540,0.762009849437,76.200984944
2026-01-01T01:00:00Z,2461041.541666667,338.360520528751,-0.133792652068,42162.185854,360758.304967,147082421.080181,86.961613832,119.933177839,153.104191006,8.691093867,28.691093867,0.275935635,20.000000000,0.271010105,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990669275401,0.762010100833,76.201010083
2026-01-01T02:00:00Z,2461041.583333333,353.403193013210,-0.143749701355,42162.633495,351337.801302,147091465.249035,99.822722413,106.370874834,153.536658132,8.691000879,28.691000879,0.283334423,20.000000000,0.270993442,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990664379850,0.762010490409,76.201049041
2026-01-01T03:00:00Z,2461041.625000000,8.445505094526,-0.143951057531,42163.208943,342467.461366,147101321.189022,112.752464429,92.609126722,153.494714024,8.690881346,28.690881346,0.290673204,20.000000000,0.270975285,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990658086725,0.762010991200,76.201099120
2026-01-01T04:00:00Z,2461041.666666667,23.487366616611,-0.134390549067,42163.872468,334758.259275,147111310.154269,125.398575948,78.819425590,152.994031383,8.690743520,28.690743520,0.297367224,20.000000000,0.270956885,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990650830633,0.762011568621,76.201156862
2026-01-01T05:00:00Z,2461041.708333333,38.528831647108,-0.115267695092,42164.579834,328779.452284,147120744.813594,137.019265260,65.158037708,152.100164485,8.690596593,28.690596593,0.302774854,20.000000000,0.270939509,45.000000000,0.000000000000,0.061738482635,0.000000000000,0.000000000000,2.928904612763,0.766925176517,76.692517652
2026-01-01T05:50:00Z,2461041.743055556,51.062885955255,-0.093460985686,42165.169721,325461.140792,147127712.571349,144.795678633,54.029236310,151.135272239,8.690474071,28.690474071,0.305861891,20.000000000,0.270926678,45.000000000,0.000000000000,0.204350244490,0.000000000000,0.000000000000,2.786286400574,0.778274373239,77.827437324
2026-01-01T05:55:00Z,2461041.746527778,52.316271276084,-0.091019530400,42165.227359,325221.434309,147128349.986354,145.415436997,52.937334742,151.031199061,8.690462100,28.690462100,0.306087331,20.000000000,0.270925504,45.000000000,0.000000000000,0.220403776386,0.000000000000,0.000000000000,2.770232238418,0.779551922872,77.955192287
2026-01-01T06:00:00Z,2461041.750000000,53.569653010232,-0.088535104037,42165.284640,324999.113765,147128975.332019,145.998812375,51.850365215,150.926104660,8.690450203,28.690450203,0.306296717,20.000000000,0.270924352,45.000000000,0.000000000000,0.236653845508,0.000000000000,0.000000000000,2.753981542950,0.780845112128,78.084511213
2026-01-01T06:05:00Z,2461041.753472222,54.823031181590,-0.086008886784,42165.341536,324794.306465,147129588.307033,146.543749959,50.768676791,150.820081628,8.690438385,28.690438385,0.306489862,20.000000000,0.270923224,45.000000000,0.000000000000,0.253072756699,0.000000000000,0.000000000000,2.737562009628,0.782151737074,78.215173707
2026-01-01T06:10:00Z,2461041.756944444,56.076405815972,-0.083442078569,42165.398018,324607.129546,147130188.615977,147.048201241,49.692645899,150.713223271,8.690426654,28.690426654,0.306666593,20.000000000,0.270922118,45.000000000,0.000000000000,0.269633422109,0.000000000000,0.000000000000,2.721000726601,0.783469642102,78.346964210
2026-01-01T06:15:00Z,2461041.760416667,57.329776941151,-0.080835898484,42165.454061,324437.689813,147130775.969462,147.510149655,48.622679001,150.605623520,8.690415014,28.690415014,0.306826754,20.000000000,0.270921037,45.000000000,0.000000000000,0.286309161907,0.000000000000,0.000000000000,2.704324373999,0.784796704077,78.479670408
2026-01-01T06:20:00Z,2461041.763888889,58.583144586820,-0.078191584210,42165.509638,324286.083657,147131350.084267,147.927639385,47.559215551,150.497376820,8.690403471,28.690403471,0.306970199,20.000000000,0.270919979,45.000000000,0.000000000000,0.303073522915,0.000000000000,0.000000000000,2.687559405292,0.786130817897,78.613081790
2026-01-01T06:25:00Z,2461041.767361111,59.836508784563,-0.075510391423,42165.564720,324152.396915,147131910.683475,148.298806797,46.502731241,150.388578049,8.690392030,28.690392030,0.307096800,20.000000000,0.270918947,45.000000000,0.000000000000,0.319900110978,0.000000000000,0.000000000000,2.670732214932,0.787469883159,78.746988316
2026-01-01T06:30:00Z,2461041.770833333,61.089869567849,-0.072793593202,42165.619282,324036.704779,147132457.496600,148.621913679,45.453741588,150.279322413,8.690380698,28.690380698,0.307206446,20.000000000,0.270917940,45.000000000,0.000000000000,0.336762433615,0.000000000000,0.000000000000,2.653869295687,0.788811791636,78.881179164
2026-01-01T06:35:00Z,2461041.774305556,62.343226972020,-0.070042479418,42165.673298,323939.071741,147132990.259719,148.895381237,44.412805871,150.169705340,8.690369479,28.690369479,0.307299036,20.000000000,0.270916959,45.000000000,0.000000000000,0.353633748120,0.000000000000,0.000000000000,2.636997390550,0.790154415187,79.015441519
2026-01-01T06:40:00Z,2461041.777777778,63.596581034244,-0.067258356126,42165.726741,323859.551480,147133508.715597,149.117823493,43.380531473,150.059822393,8.690358379,28.690358379,0.307374491,20.000000000,0.270916005,45.000000000,0.000000000000,0.370486940366,0.000000000000,0.000000000000,2.620143613935,0.791495596116,79.149559612
2026-01-01T06:45:00Z,2461041.781250000,64.849931793513,-0.064442544941,42165.779586,323798.186819,147134012.613806,149.288078666,42.357578627,149.949769169,8.690347404,28.690347404,0.307432744,20.000000000,0.270915077,45.000000000,0.000000000000,0.387294354541,0.000000000000,0.000000000000,2.603335621934,0.792833133621,79.283313362
2026-01-01T06:50:00Z,2461041.784722222,66.103279290612,-0.061596382409,42165.831808,323755.009682,147134501.710849,149.405236972,41.344665624,149.839641193,8.690336557,28.690336557,0.307473744,20.000000000,0.270914176,45.000000000,0.000000000000,0.404027683925,0.000000000000,0.000000000000,2.586601721544,0.794164775103,79.416477510
2026-01-01T06:55:00Z,2461041.788194444,67.356623568087,-0.058721219373,42165.883380,323730.041048,147134975.770268,149.468663373,40.342574484,149.729533828,8.690325846,28.690325846,0.307497460,20.000000000,0.270913303,45.000000000,0.000000000000,0.420657841531,0.000000000000,0.000000000000,2.569971000029,0.795488205871,79.548820587
2026-01-01T07:00:00Z,2461041.791666667,68.609964670219,-0.055818420333,42165.934279,323723.290946,147135434.562762,149.478013983,39.352157124,149.619542172,8.690315275,28.690315275,0.307503871,20.000000000,0.270912459,45.000000000,0.000000000000,0.437154840865,0.000000000000,0.000000000000,2.553473444155,0.796801039654,79.680103965
2026-01-01T07:05:00Z,2461041.795138889,69.863302643013,-0.052889362792,42165.984480,323734.758410,147135877.866295,149.433245159,38.374342015,149.509760968,8.690304849,28.690304849,0.307492979,20.000000000,0.270911642,45.000000000,0.000000000000,0.453487684990,0.000000000000,0.000000000000,2.537140051125,0.798100809774,79.810080977
2026-01-01T07:10:00Z,2461041.798611111,71.116637534142,-0.049935436610,42166.033958,323764.431515,147136305.466198,149.334614731,37.410141337,149.400284501,8.690294572,28.690294572,0.307464797,20.000000000,0.270910855,45.000000000,0.000000000000,0.469624266183,0.000000000000,0.000000000000,2.521002928929,0.799384961156,79.938496116
2026-01-01T07:15:00Z,2461041.802083333,72.369969392931,-0.046958043333,42166.082690,323812.287387,147136717.155272,149.182675287,36.460658586,149.291206506,8.690284451,28.690284451,0.307419356,20.000000000,0.270910097,45.000000000,0.000000000000,0.485531279578,0.000000000000,0.000000000000,2.505095382690,0.800650843464,80.065084346
2026-01-01T07:20:00Z,2461041.805555556,73.623298270331,-0.043958595538,42166.130652,323878.292204,147137112.733890,148.978259913,35.527096594,149.182620079,8.690274490,28.690274490,0.307356705,20.000000000,0.270909369,45.000000000,0.000000000000,0.501174155376,0.000000000000,0.000000000000,2.489451982469,0.801895705700,80.189570570
2026-01-01T07:25:00Z,2461041.809027778,74.876624218870,-0.040938516154,42166.177821,323962.401262,147137492.010086,148.722461270,34.610765842,149.074617580,8.690264693,28.690264693,0.307276907,20.000000000,0.270908670,45.000000000,0.000000000000,0.516517015356,0.000000000000,0.000000000000,2.474108606736,0.803116692746,80.311669275
2026-01-01T07:30:00Z,2461041.812500000,76.129947292630,-0.037899237791,42166.224175,324064.559022,147137854.799649,148.416605176,33.713092938,148.967290546,8.690255066,28.690255066,0.307180040,20.000000000,0.270908002,45.000000000,0.000000000000,0.531522660820,0.000000000000,0.000000000000,2.459102454438,0.804310844403,80.431084440
