utc,julian_date_ut,tle_record_index,tle_epoch_utc,tle_age_days,goes18_teme_x_km,goes18_teme_y_km,goes18_teme_z_km,goes18_teme_vx_km_s,goes18_teme_vy_km_s,goes18_teme_vz_km_s,goes18_gcrs_x_km,goes18_gcrs_y_km,goes18_gcrs_z_km,earth_from_goes_x_km,earth_from_goes_y_km,earth_from_goes_z_km,moon_from_goes_x_km,moon_from_goes_y_km,moon_from_goes_z_km,sun_from_goes_x_km,sun_from_goes_y_km,sun_from_goes_z_km
2026-01-01T00:00:00Z,2461041.500000000,34,2026-01-01T03:37:34Z,-0.151096350,33958.033756678,-24989.547839435,0.536636600,1.822551331,2.476549192,-0.000037173,33812.053315792,-25186.573379482,-84.439901999,-33812.053315792,25186.573379482,84.439901999,110448.469767082,314816.710517825,160267.042172739,26025767.862094127,-132808589.428864956,-57580712.173925936
2026-01-01T00:05:00Z,2461041.503472222,34,2026-01-01T03:37:34Z,-0.147624128,34496.626568451,-24240.663846667,0.534770389,1.767937355,2.515825682,-0.000038634,34354.989523526,-24440.833751667,-85.842752185,-34354.989523526,24440.833751667,85.842752185,109604.134624602,314185.966513787,160320.100828425,26034161.698186319,-132807850.290607557,-57580067.131745733
2026-01-01T00:10:00Z,2461041.506944444,34,2026-01-01T03:37:34Z,-0.144151906,35018.707656113,-23480.177119075,0.532298134,1.712477231,2.553897928,-0.000040106,34881.481803679,-23683.395580488,-87.204865339,-34881.481803679,23683.395580488,87.204865339,108776.131262585,313543.302249641,160372.995775576,26042571.879047599,-132807122.355206579,-57579421.915757187
2026-01-01T00:15:00Z,2461041.510416667,34,2026-01-01T03:37:34Z,-0.140679684,35524.027148904,-22708.451676552,0.529212890,1.656197512,2.590747708,-0.000041587,35391.278174030,-22914.621426710,-88.525597585,-35391.278174030,22914.621426710,88.525597585,107964.711879468,312889.080186046,160425.726324554,26050998.656616800,-132806405.260110825,-57578776.526608378
2026-01-01T00:20:00Z,2461041.513888889,34,2026-01-01T03:37:34Z,-0.137207461,36012.343201086,-21925.856918358,0.525508147,1.599125142,2.626357383,-0.000043077,35884.134645934,-22134.879277037,-89.804324723,-35884.134645934,22134.879277037,89.804324723,107170.120704912,312223.668215943,160478.291808083,26059442.274864763,-132805698.637337431,-57578130.964925162
2026-01-01T00:25:00Z,2461041.517361111,34,2026-01-01T03:37:34Z,-0.133735239,36483.422107725,-21132.767446175,0.521177834,1.541287448,2.660709910,-0.000044573,36359.815341137,-21344.542367837,-91.040442518,-36359.815341137,21344.542367837,91.040442518,106392.593850915,311547.439479957,160530.691578074,26067902.969634157,-132805002.113658249,-57577485.231315389
2026-01-01T00:30:00Z,2461041.520833333,34,2026-01-01T03:37:34Z,-0.130263017,36937.038416558,-20329.562884683,0.516216327,1.482712119,2.693788847,-0.000046075,36818.092604682,-20543.989006376,-92.233366990,-36818.092604682,20543.989006376,92.233366990,105632.359192624,310860.772187890,160582.925005971,26076380.968549468,-132804315.310772061,-57576839.326365657
2026-01-01T00:35:00Z,2461041.524305556,34,2026-01-01T03:37:34Z,-0.126790795,37372.975035913,-19516.627699720,0.510618449,1.423427200,2.725578363,-0.000047581,37258.747113884,-19733.602389606,-93.382534688,-37258.747113884,19733.602389606,93.382534688,104889.636281949,310164.049441833,160634.991484851,26084876.490902733,-132803637.845488444,-57576193.250642382
2026-01-01T00:40:00Z,2461041.527777778,34,2026-01-01T03:37:34Z,-0.123318572,37791.023338620,-18694.351014136,0.504379486,1.363461075,2.756063243,-0.000049091,37681.567983310,-18913.770420624,-94.487402959,-37681.567983310,18913.770420624,94.487402959,104164.636229673,309457.659046570,160686.890427200,26093389.747544337,-132802969.329912066,-57575547.004691504
2026-01-01T00:45:00Z,2461041.531250000,34,2026-01-01T03:37:34Z,-0.119846350,38190.983261856,-17863.126421404,0.497495183,1.302842454,2.785228899,-0.000050602,38086.352865709,-18084.885522873,-95.547450202,-38086.352865709,18084.885522873,95.547450202,103457.561629280,308741.993333940,160738.621269433,26101920.940803029,-132802309.371624112,-57574900.589036666
